Order,Ref,Ref_name,DS_SS,Response,Comparison,Control,Type,Tx_mean,Tx_n,Tx_sd,Cx_mean,Cx_n,Cx_sd,SD_pool,Diff_in_means,ES,Hedges_d,Var_d,SE_d,CI_lo_d,CI_up_d,Tx_percent_dead,Tx_n_total,Tx_n_dead,Cx_percent_dead,Cx_n_total,Cx_n_dead,Tx_percent_dead_adj,Tx_n_total_adj,Tx_n_dead_adj,Cx_percent_dead_adj,Cx_n_total_adj,Cx_n_dead_adj,Tx_prob_mort,Cx_prob_mort,logRR,logRR_var,Observed_O,Expected_O_hat,O_hat_var_diff,logOR,logOR_var,Binary_sed_burial,Binary_regression_design,Binary_binary_data_only,Binary_repeated_measures,Binary_control_in_study,Ocean,Region,Updated_Genus,Updated_species,Coral_age_class,Treatment,Exp_details,Other_conditions,Sed_level_standardized,Sed_exposure,Sed_exposure_UoM,Sed_exposure_days,Sed_exposure_mg_cm2,Sed_exposure_mg_d_L,Sed_duration_class,Sed_source,Sed_mineralogy,Sed_grain_class,Sed_grain_micron,Sed_grain_category,Sed_application,Surface_direction,Surface_direction_deg,Coral_age_at_start_expt_days,Coral_age_at_end_expt_days,Coral_days_old_baseline,Additional_notes,
1862,DS08a,Hodgson 1989 PhD Chapter IV - field,DS,total_mortality,PA,0,cc,,,,,,,,,,,,,,,25,4,1,0,4,0,25,4.5,1.5,0,4.5,0.5,0.33,0.11,1.1,2.22,1.5,1.091,0.536,0.764,1.87,0,0,0,1,0,Pacific,South China Sea,Isopora,palifera,adult,Week 3 of sediment exposure,n/a,transplanted at 7.5m depth,20.8,3,week,21,436.8,,long,marine,carbonate,2b - fine sand,n/s,2 - fine,,,,,,,"taxonomically diverse study that quantified the effect of ambient sediment on the partial/total mortality of 22 scleractinian species transplanted in the field; not many other details given; NOTE: NO CONTROL (lack of sediment) treatment to compare to, only time-0 (pre-exposure) to compare to repeated measures",no control (lack of sediment) treatment BUT there is a Time 0 (pre-exposure) comparison; removed rows that corresponded with antibiotic treatment
1863,DS08a,Hodgson 1989 PhD Chapter IV - field,DS,total_mortality,PA,0,cc,,,,,,,,,,,,,,,25,4,1,0,4,0,25,4.5,1.5,0,4.5,0.5,0.33,0.11,1.1,2.22,1.5,1.091,0.536,0.764,1.87,0,0,0,1,0,Pacific,South China Sea,Isopora,palifera,adult,Week 5 of sediment exposure,n/a,transplanted at 7.5m depth,20.8,5,week,35,728,,long,marine,carbonate,2b - fine sand,n/s,2 - fine,,,,,,,"taxonomically diverse study that quantified the effect of ambient sediment on the partial/total mortality of 22 scleractinian species transplanted in the field; not many other details given; NOTE: NO CONTROL (lack of sediment) treatment to compare to, only time-0 (pre-exposure) to compare to repeated measures",no control (lack of sediment) treatment BUT there is a Time 0 (pre-exposure) comparison; removed rows that corresponded with antibiotic treatment
1864,DS08a,Hodgson 1989 PhD Chapter IV - field,DS,total_mortality,PA,0,cc,,,,,,,,,,,,,,,25,4,1,0,4,0,25,4.5,1.5,0,4.5,0.5,0.33,0.11,1.1,2.22,1.5,1.091,0.536,0.764,1.87,0,0,0,1,0,Pacific,South China Sea,Isopora,palifera,adult,Week 7 of sediment exposure,n/a,transplanted at 7.5m depth,20.8,7,week,49,1019.2,,long,marine,carbonate,2b - fine sand,n/s,2 - fine,,,,,,,"taxonomically diverse study that quantified the effect of ambient sediment on the partial/total mortality of 22 scleractinian species transplanted in the field; not many other details given; NOTE: NO CONTROL (lack of sediment) treatment to compare to, only time-0 (pre-exposure) to compare to repeated measures",no control (lack of sediment) treatment BUT there is a Time 0 (pre-exposure) comparison; removed rows that corresponded with antibiotic treatment
1865,DS08a,Hodgson 1989 PhD Chapter IV - field,DS,total_mortality,PA,0,cc,,,,,,,,,,,,,,,25,4,1,0,4,0,25,4.5,1.5,0,4.5,0.5,0.33,0.11,1.1,2.22,1.5,1.091,0.536,0.764,1.87,0,0,0,1,0,Pacific,South China Sea,Isopora,palifera,adult,Week 11 of sediment exposure,n/a,transplanted at 7.5m depth,20.8,11,week,77,1601.6,,long,marine,carbonate,2b - fine sand,n/s,2 - fine,,,,,,,"taxonomically diverse study that quantified the effect of ambient sediment on the partial/total mortality of 22 scleractinian species transplanted in the field; not many other details given; NOTE: NO CONTROL (lack of sediment) treatment to compare to, only time-0 (pre-exposure) to compare to repeated measures",no control (lack of sediment) treatment BUT there is a Time 0 (pre-exposure) comparison; removed rows that corresponded with antibiotic treatment
1866,DS08a,Hodgson 1989 PhD Chapter IV - field,DS,total_mortality,PA,0,cc,,,,,,,,,,,,,,,25,4,1,0,4,0,25,4.5,1.5,0,4.5,0.5,0.33,0.11,1.1,2.22,1.5,1.091,0.536,0.764,1.87,0,0,0,1,0,Pacific,South China Sea,Isopora,palifera,adult,Week 16 of sediment exposure,n/a,transplanted at 7.5m depth,20.8,16,week,112,2329.6,,long,marine,carbonate,2b - fine sand,n/s,2 - fine,,,,,,,"taxonomically diverse study that quantified the effect of ambient sediment on the partial/total mortality of 22 scleractinian species transplanted in the field; not many other details given; NOTE: NO CONTROL (lack of sediment) treatment to compare to, only time-0 (pre-exposure) to compare to repeated measures",no control (lack of sediment) treatment BUT there is a Time 0 (pre-exposure) comparison; removed rows that corresponded with antibiotic treatment
1867,DS08a,Hodgson 1989 PhD Chapter IV - field,DS,total_mortality,PB,2,cc,,,,,,,,,,,,,,,0,4,0,0,4,0,0,4.5,0.5,0,4.5,0.5,,,0,,,,,,,0,0,0,1,0,Pacific,South China Sea,Acropora,hyacinthus,adult,Week 0 - pre-sediment exposure,n/a,transplanted at 7.5m depth,0,0,week,0,0,,short,no sediment,no sediment,0 - no sediment,no sediment,no sediment,,,,,,,"taxonomically diverse study that quantified the effect of ambient sediment on the partial/total mortality of 22 scleractinian species transplanted in the field; not many other details given; NOTE: NO CONTROL (lack of sediment) treatment to compare to, only time-0 (pre-exposure) to compare to repeated measures",no control (lack of sediment) treatment BUT there is a Time 0 (pre-exposure) comparison; removed rows that corresponded with antibiotic treatment
1868,DS08a,Hodgson 1989 PhD Chapter IV - field,DS,total_mortality,PB,0,cc,,,,,,,,,,,,,,,0,4,0,0,4,0,0,4.5,0.5,0,4.5,0.5,0.11,0.11,0,3.56,0.5,0.5,0.25,0,4,0,0,0,1,0,Pacific,South China Sea,Acropora,hyacinthus,adult,Week 2 of sediment exposure,n/a,transplanted at 7.5m depth,20.8,2,week,14,291.2,,long,marine,carbonate,2b - fine sand,n/s,2 - fine,,,,,,,"taxonomically diverse study that quantified the effect of ambient sediment on the partial/total mortality of 22 scleractinian species transplanted in the field; not many other details given; NOTE: NO CONTROL (lack of sediment) treatment to compare to, only time-0 (pre-exposure) to compare to repeated measures",no control (lack of sediment) treatment BUT there is a Time 0 (pre-exposure) comparison; removed rows that corresponded with antibiotic treatment
1869,DS08a,Hodgson 1989 PhD Chapter IV - field,DS,total_mortality,PB,0,cc,,,,,,,,,,,,,,,0,4,0,0,4,0,0,4.5,0.5,0,4.5,0.5,0.11,0.11,0,3.56,0.5,0.5,0.25,0,4,0,0,0,1,0,Pacific,South China Sea,Acropora,hyacinthus,adult,Week 3 of sediment exposure,n/a,transplanted at 7.5m depth,20.8,3,week,21,436.8,,long,marine,carbonate,2b - fine sand,n/s,2 - fine,,,,,,,"taxonomically diverse study that quantified the effect of ambient sediment on the partial/total mortality of 22 scleractinian species transplanted in the field; not many other details given; NOTE: NO CONTROL (lack of sediment) treatment to compare to, only time-0 (pre-exposure) to compare to repeated measures",no control (lack of sediment) treatment BUT there is a Time 0 (pre-exposure) comparison; removed rows that corresponded with antibiotic treatment
1870,DS08a,Hodgson 1989 PhD Chapter IV - field,DS,total_mortality,PB,0,cc,,,,,,,,,,,,,,,0,4,0,0,4,0,0,4.5,0.5,0,4.5,0.5,0.11,0.11,0,3.56,0.5,0.5,0.25,0,4,0,0,0,1,0,Pacific,South China Sea,Acropora,hyacinthus,adult,Week 5 of sediment exposure,n/a,transplanted at 7.5m depth,20.8,5,week,35,728,,long,marine,carbonate,2b - fine sand,n/s,2 - fine,,,,,,,"taxonomically diverse study that quantified the effect of ambient sediment on the partial/total mortality of 22 scleractinian species transplanted in the field; not many other details given; NOTE: NO CONTROL (lack of sediment) treatment to compare to, only time-0 (pre-exposure) to compare to repeated measures",no control (lack of sediment) treatment BUT there is a Time 0 (pre-exposure) comparison; removed rows that corresponded with antibiotic treatment
1871,DS08a,Hodgson 1989 PhD Chapter IV - field,DS,total_mortality,PB,0,cc,,,,,,,,,,,,,,,50,4,2,0,4,0,50,4.5,2.5,0,4.5,0.5,0.56,0.11,1.61,1.96,2.5,1.75,0.835,0.898,1.2,0,0,0,1,0,Pacific,South China Sea,Acropora,hyacinthus,adult,Week 8 of sediment exposure,n/a,transplanted at 7.5m depth,20.8,8,week,56,1164.8,,long,marine,carbonate,2b - fine sand,n/s,2 - fine,,,,,,,"taxonomically diverse study that quantified the effect of ambient sediment on the partial/total mortality of 22 scleractinian species transplanted in the field; not many other details given; NOTE: NO CONTROL (lack of sediment) treatment to compare to, only time-0 (pre-exposure) to compare to repeated measures",no control (lack of sediment) treatment BUT there is a Time 0 (pre-exposure) comparison; removed rows that corresponded with antibiotic treatment
1872,DS08a,Hodgson 1989 PhD Chapter IV - field,DS,total_mortality,PB,0,cc,,,,,,,,,,,,,,,50,4,2,0,4,0,50,4.5,2.5,0,4.5,0.5,0.56,0.11,1.61,1.96,2.5,1.75,0.835,0.898,1.2,0,0,0,1,0,Pacific,South China Sea,Acropora,hyacinthus,adult,Week 11 of sediment exposure,n/a,transplanted at 7.5m depth,20.8,11,week,77,1601.6,,long,marine,carbonate,2b - fine sand,n/s,2 - fine,,,,,,,"taxonomically diverse study that quantified the effect of ambient sediment on the partial/total mortality of 22 scleractinian species transplanted in the field; not many other details given; NOTE: NO CONTROL (lack of sediment) treatment to compare to, only time-0 (pre-exposure) to compare to repeated measures",no control (lack of sediment) treatment BUT there is a Time 0 (pre-exposure) comparison; removed rows that corresponded with antibiotic treatment
1873,DS08a,Hodgson 1989 PhD Chapter IV - field,DS,total_mortality,PB,0,cc,,,,,,,,,,,,,,,50,4,2,0,4,0,50,4.5,2.5,0,4.5,0.5,0.56,0.11,1.61,1.96,2.5,1.75,0.835,0.898,1.2,0,0,0,1,0,Pacific,South China Sea,Acropora,hyacinthus,adult,Week 17 of sediment exposure,n/a,transplanted at 7.5m depth,20.8,17,week,119,2475.2,,long,marine,carbonate,2b - fine sand,n/s,2 - fine,,,,,,,"taxonomically diverse study that quantified the effect of ambient sediment on the partial/total mortality of 22 scleractinian species transplanted in the field; not many other details given; NOTE: NO CONTROL (lack of sediment) treatment to compare to, only time-0 (pre-exposure) to compare to repeated measures",no control (lack of sediment) treatment BUT there is a Time 0 (pre-exposure) comparison; removed rows that corresponded with antibiotic treatment
1874,DS08a,Hodgson 1989 PhD Chapter IV - field,DS,total_mortality,PC,2,cc,,,,,,,,,,,,,,,0,4,0,0,4,0,0,4.5,0.5,0,4.5,0.5,,,0,,,,,,,0,0,0,1,0,Pacific,South China Sea,Euphyllia,glabrescens,adult,Week 0 - pre-sediment exposure,n/a,transplanted at 7.5m depth,0,0,week,0,0,,short,no sediment,no sediment,0 - no sediment,no sediment,no sediment,,,,,,,"taxonomically diverse study that quantified the effect of ambient sediment on the partial/total mortality of 22 scleractinian species transplanted in the field; not many other details given; NOTE: NO CONTROL (lack of sediment) treatment to compare to, only time-0 (pre-exposure) to compare to repeated measures",no control (lack of sediment) treatment BUT there is a Time 0 (pre-exposure) comparison; removed rows that corresponded with antibiotic treatment
1875,DS08a,Hodgson 1989 PhD Chapter IV - field,DS,total_mortality,PC,0,cc,,,,,,,,,,,,,,,0,4,0,0,4,0,0,4.5,0.5,0,4.5,0.5,0.11,0.11,0,3.56,0.5,0.5,0.25,0,4,0,0,0,1,0,Pacific,South China Sea,Euphyllia,glabrescens,adult,Week 2 of sediment exposure,n/a,transplanted at 7.5m depth,20.8,2,week,14,291.2,,long,marine,carbonate,2b - fine sand,n/s,2 - fine,,,,,,,"taxonomically diverse study that quantified the effect of ambient sediment on the partial/total mortality of 22 scleractinian species transplanted in the field; not many other details given; NOTE: NO CONTROL (lack of sediment) treatment to compare to, only time-0 (pre-exposure) to compare to repeated measures",no control (lack of sediment) treatment BUT there is a Time 0 (pre-exposure) comparison; removed rows that corresponded with antibiotic treatment
1876,DS08a,Hodgson 1989 PhD Chapter IV - field,DS,total_mortality,PC,0,cc,,,,,,,,,,,,,,,0,4,0,0,4,0,0,4.5,0.5,0,4.5,0.5,0.11,0.11,0,3.56,0.5,0.5,0.25,0,4,0,0,0,1,0,Pacific,South China Sea,Euphyllia,glabrescens,adult,Week 4 of sediment exposure,n/a,transplanted at 7.5m depth,20.8,4,week,28,582.4,,long,marine,carbonate,2b - fine sand,n/s,2 - fine,,,,,,,"taxonomically diverse study that quantified the effect of ambient sediment on the partial/total mortality of 22 scleractinian species transplanted in the field; not many other details given; NOTE: NO CONTROL (lack of sediment) treatment to compare to, only time-0 (pre-exposure) to compare to repeated measures",no control (lack of sediment) treatment BUT there is a Time 0 (pre-exposure) comparison; removed rows that corresponded with antibiotic treatment
1877,DS08a,Hodgson 1989 PhD Chapter IV - field,DS,total_mortality,PC,0,cc,,,,,,,,,,,,,,,0,4,0,0,4,0,0,4.5,0.5,0,4.5,0.5,0.11,0.11,0,3.56,0.5,0.5,0.25,0,4,0,0,0,1,0,Pacific,South China Sea,Euphyllia,glabrescens,adult,Week 6 of sediment exposure,n/a,transplanted at 7.5m depth,20.8,6,week,42,873.6,,long,marine,carbonate,2b - fine sand,n/s,2 - fine,,,,,,,"taxonomically diverse study that quantified the effect of ambient sediment on the partial/total mortality of 22 scleractinian species transplanted in the field; not many other details given; NOTE: NO CONTROL (lack of sediment) treatment to compare to, only time-0 (pre-exposure) to compare to repeated measures",no control (lack of sediment) treatment BUT there is a Time 0 (pre-exposure) comparison; removed rows that corresponded with antibiotic treatment
1878,DS08a,Hodgson 1989 PhD Chapter IV - field,DS,total_mortality,PC,0,cc,,,,,,,,,,,,,,,0,4,0,0,4,0,0,4.5,0.5,0,4.5,0.5,0.11,0.11,0,3.56,0.5,0.5,0.25,0,4,0,0,0,1,0,Pacific,South China Sea,Euphyllia,glabrescens,adult,Week 9 of sediment exposure,n/a,transplanted at 7.5m depth,20.8,9,week,63,1310.4,,long,marine,carbonate,2b - fine sand,n/s,2 - fine,,,,,,,"taxonomically diverse study that quantified the effect of ambient sediment on the partial/total mortality of 22 scleractinian species transplanted in the field; not many other details given; NOTE: NO CONTROL (lack of sediment) treatment to compare to, only time-0 (pre-exposure) to compare to repeated measures",no control (lack of sediment) treatment BUT there is a Time 0 (pre-exposure) comparison; removed rows that corresponded with antibiotic treatment
1879,DS08a,Hodgson 1989 PhD Chapter IV - field,DS,total_mortality,PC,0,cc,,,,,,,,,,,,,,,50,4,2,0,4,0,50,4.5,2.5,0,4.5,0.5,0.56,0.11,1.61,1.96,2.5,1.75,0.835,0.898,1.2,0,0,0,1,0,Pacific,South China Sea,Euphyllia,glabrescens,adult,Week 10 of sediment exposure,n/a,transplanted at 7.5m depth,20.8,10,week,70,1456,,long,marine,carbonate,2b - fine sand,n/s,2 - fine,,,,,,,"taxonomically diverse study that quantified the effect of ambient sediment on the partial/total mortality of 22 scleractinian species transplanted in the field; not many other details given; NOTE: NO CONTROL (lack of sediment) treatment to compare to, only time-0 (pre-exposure) to compare to repeated measures",no control (lack of sediment) treatment BUT there is a Time 0 (pre-exposure) comparison; removed rows that corresponded with antibiotic treatment
1880,DS08a,Hodgson 1989 PhD Chapter IV - field,DS,total_mortality,PC,0,cc,,,,,,,,,,,,,,,50,4,2,0,4,0,50,4.5,2.5,0,4.5,0.5,0.56,0.11,1.61,1.96,2.5,1.75,0.835,0.898,1.2,0,0,0,1,0,Pacific,South China Sea,Euphyllia,glabrescens,adult,Week 17 of sediment exposure,n/a,transplanted at 7.5m depth,20.8,17,week,119,2475.2,,long,marine,carbonate,2b - fine sand,n/s,2 - fine,,,,,,,"taxonomically diverse study that quantified the effect of ambient sediment on the partial/total mortality of 22 scleractinian species transplanted in the field; not many other details given; NOTE: NO CONTROL (lack of sediment) treatment to compare to, only time-0 (pre-exposure) to compare to repeated measures",no control (lack of sediment) treatment BUT there is a Time 0 (pre-exposure) comparison; removed rows that corresponded with antibiotic treatment
1881,DS08a,Hodgson 1989 PhD Chapter IV - field,DS,total_mortality,PD,2,cc,,,,,,,,,,,,,,,0,4,0,0,4,0,0,4.5,0.5,0,4.5,0.5,,,0,,,,,,,0,0,0,1,0,Pacific,South China Sea,Merulina,scabricula,adult,Week 0 - pre-sediment exposure,n/a,transplanted at 7.5m depth,0,0,week,0,0,,short,no sediment,no sediment,0 - no sediment,no sediment,no sediment,,,,,,,"taxonomically diverse study that quantified the effect of ambient sediment on the partial/total mortality of 22 scleractinian species transplanted in the field; not many other details given; NOTE: NO CONTROL (lack of sediment) treatment to compare to, only time-0 (pre-exposure) to compare to repeated measures",no control (lack of sediment) treatment BUT there is a Time 0 (pre-exposure) comparison; removed rows that corresponded with antibiotic treatment
1882,DS08a,Hodgson 1989 PhD Chapter IV - field,DS,total_mortality,PD,0,cc,,,,,,,,,,,,,,,0,4,0,0,4,0,0,4.5,0.5,0,4.5,0.5,0.11,0.11,0,3.56,0.5,0.5,0.25,0,4,0,0,0,1,0,Pacific,South China Sea,Merulina,scabricula,adult,Week 2 of sediment exposure,n/a,transplanted at 7.5m depth,20.8,2,week,14,291.2,,long,marine,carbonate,2b - fine sand,n/s,2 - fine,,,,,,,"taxonomically diverse study that quantified the effect of ambient sediment on the partial/total mortality of 22 scleractinian species transplanted in the field; not many other details given; NOTE: NO CONTROL (lack of sediment) treatment to compare to, only time-0 (pre-exposure) to compare to repeated measures",no control (lack of sediment) treatment BUT there is a Time 0 (pre-exposure) comparison; removed rows that corresponded with antibiotic treatment
1883,DS08a,Hodgson 1989 PhD Chapter IV - field,DS,total_mortality,PD,0,cc,,,,,,,,,,,,,,,0,4,0,0,4,0,0,4.5,0.5,0,4.5,0.5,0.11,0.11,0,3.56,0.5,0.5,0.25,0,4,0,0,0,1,0,Pacific,South China Sea,Merulina,scabricula,adult,Week 3 of sediment exposure,n/a,transplanted at 7.5m depth,20.8,3,week,21,436.8,,long,marine,carbonate,2b - fine sand,n/s,2 - fine,,,,,,,"taxonomically diverse study that quantified the effect of ambient sediment on the partial/total mortality of 22 scleractinian species transplanted in the field; not many other details given; NOTE: NO CONTROL (lack of sediment) treatment to compare to, only time-0 (pre-exposure) to compare to repeated measures",no control (lack of sediment) treatment BUT there is a Time 0 (pre-exposure) comparison; removed rows that corresponded with antibiotic treatment
1884,DS08a,Hodgson 1989 PhD Chapter IV - field,DS,total_mortality,PD,0,cc,,,,,,,,,,,,,,,0,4,0,0,4,0,0,4.5,0.5,0,4.5,0.5,0.11,0.11,0,3.56,0.5,0.5,0.25,0,4,0,0,0,1,0,Pacific,South China Sea,Merulina,scabricula,adult,Week 5 of sediment exposure,n/a,transplanted at 7.5m depth,20.8,5,week,35,728,,long,marine,carbonate,2b - fine sand,n/s,2 - fine,,,,,,,"taxonomically diverse study that quantified the effect of ambient sediment on the partial/total mortality of 22 scleractinian species transplanted in the field; not many other details given; NOTE: NO CONTROL (lack of sediment) treatment to compare to, only time-0 (pre-exposure) to compare to repeated measures",no control (lack of sediment) treatment BUT there is a Time 0 (pre-exposure) comparison; removed rows that corresponded with antibiotic treatment
1885,DS08a,Hodgson 1989 PhD Chapter IV - field,DS,total_mortality,PD,0,cc,,,,,,,,,,,,,,,0,4,0,0,4,0,0,4.5,0.5,0,4.5,0.5,0.11,0.11,0,3.56,0.5,0.5,0.25,0,4,0,0,0,1,0,Pacific,South China Sea,Merulina,scabricula,adult,Week 7 of sediment exposure,n/a,transplanted at 7.5m depth,20.8,7,week,49,1019.2,,long,marine,carbonate,2b - fine sand,n/s,2 - fine,,,,,,,"taxonomically diverse study that quantified the effect of ambient sediment on the partial/total mortality of 22 scleractinian species transplanted in the field; not many other details given; NOTE: NO CONTROL (lack of sediment) treatment to compare to, only time-0 (pre-exposure) to compare to repeated measures",no control (lack of sediment) treatment BUT there is a Time 0 (pre-exposure) comparison; removed rows that corresponded with antibiotic treatment
1886,DS08a,Hodgson 1989 PhD Chapter IV - field,DS,total_mortality,PD,0,cc,,,,,,,,,,,,,,,0,4,0,0,4,0,0,4.5,0.5,0,4.5,0.5,0.11,0.11,0,3.56,0.5,0.5,0.25,0,4,0,0,0,1,0,Pacific,South China Sea,Merulina,scabricula,adult,Week 9 of sediment exposure,n/a,transplanted at 7.5m depth,20.8,9,week,63,1310.4,,long,marine,carbonate,2b - fine sand,n/s,2 - fine,,,,,,,"taxonomically diverse study that quantified the effect of ambient sediment on the partial/total mortality of 22 scleractinian species transplanted in the field; not many other details given; NOTE: NO CONTROL (lack of sediment) treatment to compare to, only time-0 (pre-exposure) to compare to repeated measures",no control (lack of sediment) treatment BUT there is a Time 0 (pre-exposure) comparison; removed rows that corresponded with antibiotic treatment
1887,DS08a,Hodgson 1989 PhD Chapter IV - field,DS,total_mortality,PD,0,cc,,,,,,,,,,,,,,,0,4,0,0,4,0,0,4.5,0.5,0,4.5,0.5,0.11,0.11,0,3.56,0.5,0.5,0.25,0,4,0,0,0,1,0,Pacific,South China Sea,Merulina,scabricula,adult,Week 13 of sediment exposure,n/a,transplanted at 7.5m depth,20.8,13,week,91,1892.8,,long,marine,carbonate,2b - fine sand,n/s,2 - fine,,,,,,,"taxonomically diverse study that quantified the effect of ambient sediment on the partial/total mortality of 22 scleractinian species transplanted in the field; not many other details given; NOTE: NO CONTROL (lack of sediment) treatment to compare to, only time-0 (pre-exposure) to compare to repeated measures",no control (lack of sediment) treatment BUT there is a Time 0 (pre-exposure) comparison; removed rows that corresponded with antibiotic treatment
1888,DS08a,Hodgson 1989 PhD Chapter IV - field,DS,total_mortality,PD,0,cc,,,,,,,,,,,,,,,0,4,0,0,4,0,0,4.5,0.5,0,4.5,0.5,0.11,0.11,0,3.56,0.5,0.5,0.25,0,4,0,0,0,1,0,Pacific,South China Sea,Merulina,scabricula,adult,Week 17 of sediment exposure,n/a,transplanted at 7.5m depth,20.8,17,week,119,2475.2,,long,marine,carbonate,2b - fine sand,n/s,2 - fine,,,,,,,"taxonomically diverse study that quantified the effect of ambient sediment on the partial/total mortality of 22 scleractinian species transplanted in the field; not many other details given; NOTE: NO CONTROL (lack of sediment) treatment to compare to, only time-0 (pre-exposure) to compare to repeated measures",no control (lack of sediment) treatment BUT there is a Time 0 (pre-exposure) comparison; removed rows that corresponded with antibiotic treatment
1889,DS08a,Hodgson 1989 PhD Chapter IV - field,DS,total_mortality,PE,2,cc,,,,,,,,,,,,,,,0,4,0,0,4,0,0,4.5,0.5,0,4.5,0.5,,,0,,,,,,,0,0,0,1,0,Pacific,South China Sea,Echinopora,mammiformis,adult,Week 0 - pre-sediment exposure,n/a,transplanted at 7.5m depth,0,0,week,0,0,,short,no sediment,no sediment,0 - no sediment,no sediment,no sediment,,,,,,,"taxonomically diverse study that quantified the effect of ambient sediment on the partial/total mortality of 22 scleractinian species transplanted in the field; not many other details given; NOTE: NO CONTROL (lack of sediment) treatment to compare to, only time-0 (pre-exposure) to compare to repeated measures",no control (lack of sediment) treatment BUT there is a Time 0 (pre-exposure) comparison; removed rows that corresponded with antibiotic treatment
1890,DS08a,Hodgson 1989 PhD Chapter IV - field,DS,total_mortality,PE,0,cc,,,,,,,,,,,,,,,0,4,0,0,4,0,0,4.5,0.5,0,4.5,0.5,0.11,0.11,0,3.56,0.5,0.5,0.25,0,4,0,0,0,1,0,Pacific,South China Sea,Echinopora,mammiformis,adult,Week 3 of sediment exposure,n/a,transplanted at 7.5m depth,20.8,3,week,21,436.8,,long,marine,carbonate,2b - fine sand,n/s,2 - fine,,,,,,,"taxonomically diverse study that quantified the effect of ambient sediment on the partial/total mortality of 22 scleractinian species transplanted in the field; not many other details given; NOTE: NO CONTROL (lack of sediment) treatment to compare to, only time-0 (pre-exposure) to compare to repeated measures",no control (lack of sediment) treatment BUT there is a Time 0 (pre-exposure) comparison; removed rows that corresponded with antibiotic treatment
1891,DS08a,Hodgson 1989 PhD Chapter IV - field,DS,total_mortality,PE,0,cc,,,,,,,,,,,,,,,0,4,0,0,4,0,0,4.5,0.5,0,4.5,0.5,0.11,0.11,0,3.56,0.5,0.5,0.25,0,4,0,0,0,1,0,Pacific,South China Sea,Echinopora,mammiformis,adult,Week 4 of sediment exposure,n/a,transplanted at 7.5m depth,20.8,4,week,28,582.4,,long,marine,carbonate,2b - fine sand,n/s,2 - fine,,,,,,,"taxonomically diverse study that quantified the effect of ambient sediment on the partial/total mortality of 22 scleractinian species transplanted in the field; not many other details given; NOTE: NO CONTROL (lack of sediment) treatment to compare to, only time-0 (pre-exposure) to compare to repeated measures",no control (lack of sediment) treatment BUT there is a Time 0 (pre-exposure) comparison; removed rows that corresponded with antibiotic treatment
1892,DS08a,Hodgson 1989 PhD Chapter IV - field,DS,total_mortality,PE,0,cc,,,,,,,,,,,,,,,0,4,0,0,4,0,0,4.5,0.5,0,4.5,0.5,0.11,0.11,0,3.56,0.5,0.5,0.25,0,4,0,0,0,1,0,Pacific,South China Sea,Echinopora,mammiformis,adult,Week 6 of sediment exposure,n/a,transplanted at 7.5m depth,20.8,6,week,42,873.6,,long,marine,carbonate,2b - fine sand,n/s,2 - fine,,,,,,,"taxonomically diverse study that quantified the effect of ambient sediment on the partial/total mortality of 22 scleractinian species transplanted in the field; not many other details given; NOTE: NO CONTROL (lack of sediment) treatment to compare to, only time-0 (pre-exposure) to compare to repeated measures",no control (lack of sediment) treatment BUT there is a Time 0 (pre-exposure) comparison; removed rows that corresponded with antibiotic treatment
1893,DS08a,Hodgson 1989 PhD Chapter IV - field,DS,total_mortality,PE,0,cc,,,,,,,,,,,,,,,0,4,0,0,4,0,0,4.5,0.5,0,4.5,0.5,0.11,0.11,0,3.56,0.5,0.5,0.25,0,4,0,0,0,1,0,Pacific,South China Sea,Echinopora,mammiformis,adult,Week 8 of sediment exposure,n/a,transplanted at 7.5m depth,20.8,8,week,56,1164.8,,long,marine,carbonate,2b - fine sand,n/s,2 - fine,,,,,,,"taxonomically diverse study that quantified the effect of ambient sediment on the partial/total mortality of 22 scleractinian species transplanted in the field; not many other details given; NOTE: NO CONTROL (lack of sediment) treatment to compare to, only time-0 (pre-exposure) to compare to repeated measures",no control (lack of sediment) treatment BUT there is a Time 0 (pre-exposure) comparison; removed rows that corresponded with antibiotic treatment
1894,DS08a,Hodgson 1989 PhD Chapter IV - field,DS,total_mortality,PE,0,cc,,,,,,,,,,,,,,,0,4,0,0,4,0,0,4.5,0.5,0,4.5,0.5,0.11,0.11,0,3.56,0.5,0.5,0.25,0,4,0,0,0,1,0,Pacific,South China Sea,Echinopora,mammiformis,adult,Week 12 of sediment exposure,n/a,transplanted at 7.5m depth,20.8,12,week,84,1747.2,,long,marine,carbonate,2b - fine sand,n/s,2 - fine,,,,,,,"taxonomically diverse study that quantified the effect of ambient sediment on the partial/total mortality of 22 scleractinian species transplanted in the field; not many other details given; NOTE: NO CONTROL (lack of sediment) treatment to compare to, only time-0 (pre-exposure) to compare to repeated measures",no control (lack of sediment) treatment BUT there is a Time 0 (pre-exposure) comparison; removed rows that corresponded with antibiotic treatment
